index,type,land_type,prefecture,city,city2,station_name,building_year,station_dis,price,price_per_tsubo,room,area,land_shape,frontage,gross_floor_area,building_type,city_plan,BCR,FAR
8496,宅地(土地と建物),住宅地,千葉県,船橋市,南三咲,滝不動,1997,6,6000000,,,55,ほぼ長方形,6.2,50,木造,第１種低層住居専用地域,50,100
8497,宅地(土地と建物),住宅地,千葉県,船橋市,南三咲,滝不動,2022,7,32000000,,,140,長方形,8.8,105,木造,第１種低層住居専用地域,50,100
8498,宅地(土地と建物),住宅地,千葉県,船橋市,南三咲,滝不動,2022,9,27000000,,,100,長方形,,90,木造,第１種低層住居専用地域,50,100
8499,宅地(土地と建物),住宅地,千葉県,船橋市,南三咲,滝不動,2022,10,25000000,,,100,ほぼ長方形,6.7,95,木造,第１種低層住居専用地域,50,100
8500,宅地(土地と建物),住宅地,千葉県,船橋市,三山,京成大久保,2022,26,31000000,,,125,ほぼ台形,6.2,100,木造,第１種中高層住居専用地域,60,200
8501,宅地(土地と建物),住宅地,千葉県,船橋市,三山,京成大久保,2022,21,46000000,,,155,ほぼ台形,9.5,135,木造,第１種中高層住居専用地域,60,200
8504,宅地(土地と建物),住宅地,千葉県,船橋市,三山,薬園台,2022,30分?60分,31000000,,,115,ほぼ正方形,10.7,105,木造,第１種住居地域,60,200
8505,中古マンション等,,千葉県,船橋市,宮本,大神宮下,1992,5,8800000,,２Ｋ,25,,,,ＳＲＣ,第２種住居地域,60,200
8506,中古マンション等,,千葉県,船橋市,宮本,大神宮下,1974,4,23000000,,２ＬＤＫ,60,,,,ＲＣ,近隣商業地域,80,300
8507,中古マンション等,,千葉県,船橋市,宮本,船橋,2008,10,17000000,,,30,,,,ＲＣ,第２種住居地域,60,200
8508,中古マンション等,,千葉県,船橋市,宮本,船橋競馬場,1973,2,16000000,,１ＬＤＫ,40,,,,ＳＲＣ,準工業地域,60,200
8510,宅地(土地と建物),住宅地,千葉県,船橋市,本中山,下総中山,1976,9,26000000,,,95,台形,8,120,木造,第１種住居地域,60,200
